type, geometry, latitude, longitude, sogkph, headingTrueDegrees, epochSeconds
Feature, Point, 51.241005880833335, 4.419389875555557, 0.08, 332.403, 1652104104.4113}
Feature,Point, 51.24100591055556, 4.419389876944446, 0.09, 332.418, 1652104105.4127755},
Feature,Point,51.24100592861111,4.419389888888889,0.14,332.417,1652104106.4142032
